,S_AE,S_An,S_En,S_AF,S_EF,S_nF,S_A,S_E,S_n,S_F,V_tot
51,6.863882593007723e-15,4.260726020168366e-15,7.108061760235449e-15,3.5205846305174273e-15,7.183337117973378e-15,6.278166211981707e-15,5.3662707460964995e-15,7.314625477042607e-15,5.2152860078256314e-15,1.8778490673065115e-16,8.949593026653027e-15
52,1.0030598863290817e-14,6.2506990167461465e-15,1.037502026954124e-14,5.198478458042229e-15,1.0490921387171916e-14,9.154273995952492e-15,7.856401817527115e-15,1.0658627304869853e-14,7.572700225376001e-15,2.8172722064482245e-16,1.3054306992832149e-14
53,1.451222420733921e-14,9.076503768562368e-15,1.4993272569427303e-14,7.597999141143878e-15,1.5170290721766895e-14,1.3215276562619723e-14,1.1386140347958117e-14,1.5377467285648012e-14,1.0884045167247521e-14,4.192495913981052e-16,1.8856965704285763e-14
54,2.078860401015248e-14,1.3046343174024345e-14,2.1454014739592082e-14,1.0993316792591216e-14,2.1722210565559375e-14,1.888969672393711e-14,1.6336799309139984e-14,2.1967254997938134e-14,1.548532281104553e-14,6.189873297829235e-16,2.697741795036665e-14
55,2.9486579645663567e-14,1.856365744748789e-14,3.0398347367077656e-14,1.5747066493663065e-14,3.0801431268227507e-14,2.673591019428171e-14,2.3207052974649497e-14,3.107396429584713e-14,2.1809820331288806e-14,9.068590292277479e-16,3.822730111033542e-14
56,4.141361526123005e-14,2.6149022287519965e-14,4.2651475793229926e-14,2.2332435734454634e-14,4.3252441154042725e-14,3.747141164509495e-14,3.263989742182999e-14,4.3526958049552e-14,3.040775540962689e-14,1.3186332946433103e-15,5.365572547263303e-14
57,5.759448388677908e-14,3.646400550221269e-14,5.926006191321464e-14,3.135815246791812e-14,6.014887586379795e-14,5.2004637863617805e-14,4.545206982657209e-14,6.037525976900654e-14,4.196636438901919e-14,1.9032903921644128e-15,7.460051861925981e-14
58,7.930910841967342e-14,5.033570290486677e-14,8.153085562319525e-14,4.3595587446317486e-14,8.283483730267373e-14,7.146770111783623e-14,6.266438537348885e-14,8.292454486166108e-14,5.7328614838075e-14,2.7273820737860947e-15,1.0274341360337176e-13
59,1.0812838325704989e-13,6.877983450545022e-14,1.1106748944083271e-13,6.00064847595105e-14,1.1296514411153073e-13,9.724733100697661e-14,8.553042057198402e-14,1.1277153860587688e-13,7.750779633790632e-14,3.880626751982408e-15,1.4016625303974222e-13
60,1.4594314298801083e-13,9.301919321471285e-14,1.4980070024853266e-13,8.176889007703124e-14,1.525399208589182e-13,1.3100996620231486e-13,1.1555962510400842e-13,1.518308423067383e-13,1.0369409642098485e-13,5.4830077577152004e-15,1.8940354614257073e-13
61,1.9497937829724783e-13,1.2449289692296493e-13,2.0000523499444423e-13,1.1029763327479323e-13,2.03926916072756e-13,1.7471527903654444e-13,1.5452926714319028e-13,2.0234715335121018e-13,1.3724792985684192e-13,7.693663120898847e-15,2.534845293757292e-13
62,2.5779036557348454e-13,1.6485033885210572e-13,2.6429434655629844e-13,1.4725424596894595e-13,2.6986255488670445e-13,2.306105083475665e-13,2.0447764203391608e-13,2.6688344760065776e-13,1.7967334052936693e-13,1.0721855973588228e-14,3.3595527008194497e-13
63,3.372137102659153e-13,2.1592206591755944e-13,3.455802291164687e-13,1.945395111520052e-13,3.5342010623958894e-13,3.0119595500723975e-13,2.676688118635127e-13,3.482730990655693e-13,2.32563399853969e-13,1.4840280019853915e-14,4.4086843387754035e-13
64,4.3627868522641965e-13,2.7965824691223114e-13,4.469862578389509e-13,2.54260089264927e-13,4.579307419504537e-13,3.8915011874162043e-13,3.465170238110304e-13,4.4952141377614773e-13,2.9750846381828753e-13,2.040086258548262e-14,5.727253685816385e-13
65,5.580471622844153e-13,3.580242685596139e-13,5.71694962707674e-13,3.2865909997189385e-13,5.868411479063495e-13,4.972016514588785e-13,4.4345727834935795e-13,5.736401500049765e-13,3.75957854043783e-13,2.7853048289253442e-14,7.363525972544612e-13
66,7.053706510850847e-13,4.528428454162307e-13,7.227150178217052e-13,4.199995817157768e-13,7.434904391164672e-13,6.279352124490673e-13,5.607479094986616e-13,7.233980528964897e-13,4.690266110832506e-13,3.7764239550480224e-14,9.366933806737716e-13
67,8.805475693220365e-13,5.655735868414774e-13,9.025522107079028e-13,5.303900247583584e-13,9.307904680660375e-13,7.835203199689826e-13,7.001923954843462e-13,9.009723375478481e-13,5.772422378664711e-13,5.084158653396202e-14,1.178495742013656e-12
68,1.084870322520504e-12,6.970251771821549e-13,1.1127747367628135e-12,6.61543525035232e-13,1.1507985702541e-12,9.653575232283653e-13,8.627721254761208e-13,1.1074918364772073e-12,7.002327744281639e-13,6.795360210658424e-14,1.4658826152060262e-12
